Date,Open,High,Low,Close,Adj Close,Volume
2018-11-09,110.849998,111.449997,108.760002,109.57,109.57,32033800
2018-11-08,111.800003,112.209999,110.910004,111.75,111.75,25644100
2018-11-07,109.440002,112.239998,109.400002,111.959999,111.959999,37901700
2018-11-06,107.379997,108.839996,106.279999,107.720001,107.720001,24340200
2018-11-05,106.370003,107.739998,105.900002,107.510002,107.510002,27922100
2018-11-02,106.480003,107.32,104.980003,106.160004,106.160004,37680200
2018-11-01,107.050003,107.32,105.529999,105.91999799999999,105.91999799999999,33384200
2018-10-31,105.440002,108.139999,105.389999,106.809998,106.809998,51062400
2018-10-30,103.660004,104.379997,100.110001,103.730003,103.730003,65350900
2018-10-29,108.110001,108.699997,101.629997,103.849998,103.849998,55162000
2018-10-26,105.690002,108.75,104.760002,106.959999,106.959999,55523100
2018-10-25,106.550003,109.269997,106.150002,108.300003,108.300003,61646800
2018-10-24,108.410004,108.489998,101.589996,102.32,102.32,63897800
2018-10-23,107.769997,108.970001,105.110001,108.099998,108.099998,43770400
2018-10-22,109.32,110.540001,108.239998,109.629997,109.629997,26545600
2018-10-19,108.93,110.860001,108.209999,108.660004,108.660004,32785500
2018-10-18,110.099998,110.529999,107.83000200000001,108.5,108.5,32506200
2018-10-17,111.68,111.809998,109.550003,110.709999,110.709999,26548200
2018-10-16,109.540001,111.410004,108.949997,111.0,111.0,31610200
2018-10-15,108.910004,109.480003,106.949997,107.599998,107.599998,32068100
2018-10-12,109.010002,111.239998,107.120003,109.57,109.57,47742100
2018-10-11,105.349998,108.93,104.199997,105.910004,105.910004,63904300
2018-10-10,111.239998,111.5,105.790001,106.160004,106.160004,61376300
2018-10-09,111.139999,113.08000200000001,110.800003,112.260002,112.260002,26198600
2018-10-08,111.660004,112.029999,109.339996,110.849998,110.849998,29640600
2018-10-05,112.629997,113.16999799999999,110.639999,112.129997,112.129997,29068900
2018-10-04,114.610001,114.760002,111.629997,112.790001,112.790001,34821700
2018-10-03,115.41999799999999,116.18,114.93,115.16999799999999,115.16999799999999,16648000
2018-10-02,115.300003,115.839996,114.440002,115.150002,115.150002,20787200
2018-10-01,114.75,115.68,114.730003,115.610001,115.610001,18883100
2018-09-28,114.190002,114.57,113.68,114.370003,114.370003,21647800
2018-09-27,114.779999,114.910004,114.199997,114.410004,114.410004,19091300
2018-09-26,114.470001,115.059998,113.739998,113.980003,113.980003,19352000
2018-09-25,114.800003,115.099998,113.75,114.449997,114.449997,22668000
2018-09-24,113.029999,114.900002,112.220001,114.66999799999999,114.66999799999999,27334500
2018-09-21,114.0,115.290001,113.510002,114.260002,114.260002,71229700
2018-09-20,112.279999,113.800003,111.93,113.57,113.57,23714500
2018-09-19,113.050003,113.32,111.040001,111.699997,111.699997,21728400
2018-09-18,112.190002,113.699997,111.720001,113.209999,113.209999,22170900
2018-09-17,113.690002,113.699997,111.860001,112.139999,112.139999,20736500
2018-09-14,113.360001,113.730003,112.440002,113.370003,113.370003,19122300
2018-09-13,112.120003,113.730003,112.120003,112.910004,112.910004,26055600
2018-09-12,111.43,111.849998,110.510002,111.709999,111.709999,18891100
2018-09-11,108.900002,111.589996,108.889999,111.239998,111.239998,24301800
2018-09-10,108.839996,109.639999,108.360001,109.379997,109.379997,20727900
2018-09-07,108.230003,108.720001,107.230003,108.209999,108.209999,22498600
2018-09-06,108.25,108.989998,107.510002,108.739998,108.739998,23477600
2018-09-05,111.010002,111.41999799999999,108.099998,108.489998,108.489998,32872400
2018-09-04,110.849998,111.959999,110.220001,111.709999,111.709999,22634600
2018-08-31,111.690002,112.779999,111.519997,112.33000200000001,112.33000200000001,23222700
2018-08-30,111.66999799999999,112.610001,111.440002,111.949997,111.949997,22798700
2018-08-29,110.449997,112.029999,110.269997,112.019997,112.019997,20818000
2018-08-28,109.940002,110.5,109.790001,110.260002,110.260002,19151500
2018-08-27,109.269997,109.639999,108.510002,109.599998,109.599998,19662300
2018-08-24,107.66999799999999,108.559998,107.559998,108.400002,108.400002,17234000
2018-08-23,107.150002,108.18,106.870003,107.559998,107.559998,18167700
2018-08-22,105.849998,107.339996,105.779999,107.059998,107.059998,18000600
2018-08-21,106.91999799999999,107.349998,105.849998,105.980003,105.980003,22881900
2018-08-20,107.510002,107.900002,106.480003,106.870003,106.870003,17914200
2018-08-17,107.360001,107.900002,106.690002,107.58000200000001,107.58000200000001,18061500
2018-08-16,108.300003,108.860001,107.300003,107.639999,107.639999,21384300
2018-08-15,108.489998,108.989998,106.82,107.660004,107.660004,29982800
2018-08-14,108.559998,109.75,108.040001,109.559998,109.139999,16788300
2018-08-13,109.239998,109.58000200000001,108.099998,108.209999,107.795174,18472500
2018-08-10,109.41999799999999,109.690002,108.379997,109.0,108.582146,18183700
2018-08-09,109.709999,110.160004,109.599998,109.66999799999999,109.249573,13660400
2018-08-08,109.33000200000001,109.75,108.760002,109.489998,109.07026699999999,15487500
2018-08-07,108.559998,109.099998,108.16999799999999,108.879997,108.462601,16080200
2018-08-06,108.120003,108.41999799999999,107.559998,108.129997,107.715477,20265900
2018-08-03,107.800003,108.050003,106.82,108.040001,107.625824,18659600
2018-08-02,105.400002,108.089996,104.839996,107.57,107.157623,26104300
2018-08-01,106.029999,106.449997,105.41999799999999,106.279999,105.872574,23628700
2018-07-31,106.489998,106.720001,105.379997,106.08000200000001,105.67334,27655200
2018-07-30,107.190002,107.529999,104.760002,105.370003,104.96606399999999,34668300
2018-07-27,110.18,110.18,106.139999,107.68,107.267204,37005300
2018-07-26,110.739998,111.0,109.5,109.620003,109.19976799999999,31372100
2018-07-25,107.959999,111.150002,107.599998,110.83000200000001,110.405128,30702100
2018-07-24,108.57,108.82,107.260002,107.660004,107.24728400000001,26316600
2018-07-23,106.300003,108.139999,106.129997,107.970001,107.556091,29707000
2018-07-20,108.08000200000001,108.199997,106.08000200000001,106.269997,105.86261,56004000
2018-07-19,104.93,105.309998,103.889999,104.400002,103.999779,40171600
2018-07-18,105.940002,106.050003,104.720001,105.120003,104.71701800000001,29493900
2018-07-17,104.610001,106.5,104.32,105.949997,105.54383100000001,25901700
2018-07-16,105.400002,105.82,104.519997,104.910004,104.507828,21786900
2018-07-13,104.370003,105.599998,104.089996,105.43,105.025833,24635200
2018-07-12,102.769997,104.410004,102.730003,104.190002,103.790588,24335900
2018-07-11,101.150002,102.339996,101.099998,101.980003,101.589058,19644600
2018-07-10,102.0,102.510002,101.860001,102.120003,101.728523,19293100
2018-07-09,101.650002,102.25,101.25,101.849998,101.45955699999999,18212000
2018-07-06,99.889999,101.43,99.66999799999999,101.160004,100.77220200000001,19234600
2018-07-05,99.5,99.91999799999999,99.029999,99.760002,99.377571,18977400
2018-07-03,100.480003,100.629997,98.940002,99.050003,98.670288,14670300
2018-07-02,98.099998,100.059998,98.0,100.010002,99.62661,19564500
2018-06-29,98.93,99.910004,98.33000200000001,98.610001,98.23197900000001,28053200
2018-06-28,97.379997,99.110001,97.260002,98.629997,98.2519,26650700
2018-06-27,99.58000200000001,100.019997,97.400002,97.540001,97.166077,31298400
2018-06-26,98.82,100.08000200000001,98.75,99.08000200000001,98.700172,26897200
2018-06-25,100.0,100.110001,97.300003,98.389999,98.012817,35433300
2018-06-22,100.410004,100.769997,99.629997,100.410004,100.02507800000001,38923100
2018-06-21,102.08000200000001,102.459999,100.879997,101.139999,100.752274,23198200
2018-06-20,101.370003,102.519997,101.120003,101.870003,101.479485,26180800
2018-06-19,99.650002,101.0,99.5,100.860001,100.473351,28653100
2018-06-18,100.010002,101.110001,99.41999799999999,100.860001,100.473351,23586000
2018-06-15,101.510002,101.529999,100.07,100.129997,99.746147,65738600
2018-06-14,101.650002,102.029999,101.0,101.41999799999999,101.031204,25691800
2018-06-13,101.720001,102.010002,100.559998,100.849998,100.463387,29492900
2018-06-12,101.099998,101.449997,100.75,101.309998,100.921623,18325200
2018-06-11,101.010002,101.589996,100.66999799999999,101.050003,100.662628,23490900
2018-06-08,101.089996,101.949997,100.540001,101.629997,101.24039499999999,22165100
2018-06-07,102.650002,102.690002,100.379997,100.879997,100.493271,28232200
2018-06-06,102.480003,102.599998,101.900002,102.489998,102.097099,21122900
2018-06-05,102.0,102.33000200000001,101.529999,102.190002,101.79825600000001,23514400
2018-06-04,101.260002,101.860001,100.849998,101.66999799999999,101.280243,27166800
2018-06-01,99.279999,100.860001,99.16999799999999,100.790001,100.40361800000001,28126200
2018-05-31,99.290001,99.989998,98.610001,98.839996,98.46109,34140900
2018-05-30,98.309998,99.25,97.910004,98.949997,98.57067099999999,22158500
