;Max_Increase;Max_Decrease;Positive_number;Negative_number;Change_price;Isincreased
0;1.0294831842648429;0.9703448136306609;19;8;-0.008552108194112961;0
1;1.02870257099817;0.9696090424725258;22;8;-0.012598740125987452;0
2;1.026937556140935;0.9679454183950505;23;8;-0.005122688386865427;1
3;1.0245076322042772;0.9725522574408957;24;15;0.012736572890025622;1
4;1.025715985040172;0.9736993316464886;23;20;0.006516138808910401;0
5;1.0242999352541278;0.9771568468760118;29;24;-0.0011478191436270575;0
6;1.03256592885535;0.9744557212324206;33;28;-0.013763738984057835;0
7;1.0297609465550548;0.9743238892466196;33;28;-0.0043057595866470505;1
8;1.028477832710318;0.9733610675670243;36;20;0.011875996092745887;1
9;1.0256281784703258;0.9706641280657363;30;15;;1
10;1.0296910172411624;0.9485531759705228;31;9;0.06801073853766378;1
11;1.03973264017824;0.9562467188240266;32;12;0.06521050965495417;0
12;1.0129659643435982;0.9822502221989858;22;12;-0.002592184563540961;0
13;1.014033528896787;0.9819550247612081;25;7;-0.0024219414806572266;0
14;1.0147628014017471;0.9646817302160156;30;5;0.02136982607523249;1
15;1.0183314087759816;0.9680742179298762;31;7;0.024124410181431483;1
16;1.0226389236628144;0.9721691462305797;33;10;-0.0013041210224309927;0
17;1.033469495322177;0.9721307155092899;34;14;-0.015583088517052151;1
18;1.042937541815892;0.96783292009393;28;18;-0.038924050632911426;0
19;1.0347924557772656;0.9684095435198562;22;19;-0.04651162790697669;1
20;1.0252243887341381;0.9723511812648304;22;17;-0.02437605069184023;1
21;1.018333199903931;0.9722199983988473;16;10;;1
22;1.0174860415633449;0.9811381125313964;17;8;0.022062163389786366;0
23;1.0169065790744853;0.9865069397481723;19;10;0.017796118382874402;0
24;1.0200269793504202;0.9843312234097749;4;4;-0.009567901234567902;0
25;1.0183151700990345;0.9826793187751212;6;4;-0.013259327782917052;0
26;1.0196572893197462;0.9803840509311892;8;4;-0.022955815134586083;0
27;1.0531235234906222;0.9887220361963065;8;10;-0.052965894654549005;0
28;1.0540957641229745;0.9773382609755106;11;16;-0.05448843590748726;0
29;1.04264165344367;0.9704340490489486;11;20;-0.054906542056074766;1
30;1.0302783785392569;0.9586499732137543;9;22;-0.06181783058050806;0
31;1.0174390124424415;0.9681591064955423;7;24;-0.01811522470797862;0
32;1.0136454144379807;0.9713817202202006;13;19;0.028164778991680867;0
33;1.0139621167740676;0.9716852177309119;9;12;;0
34;1.0196617491838287;0.964186651611478;11;6;0.04284559417946645;1
35;1.0273744819199364;0.9652296925024197;10;13;0.054406520631686196;0
